Id;Kingdom;Phylum;Class;Order;Family;Genus;Species;Subspecies;Scientific Name;Author;Rank;Listing;Party;Listed under
5062;Animalia;Chordata;Mammalia;Artiodactyla;Antilocapridae;Antilocapra;americana;;Antilocapra americana;(Ord, 1815);SPECIES;I;;Antilocapra americana
4464;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;;Addax nasomaculatus;(de Blainville, 1816);SPECIES;I;;Addax nasomaculatus
3905;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ammotragus;lervia;;Ammotragus lervia;(Pallas, 1777);SPECIES;II;;Ammotragus lervia
4985;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Antilope;cervicapra;;Antilope cervicapra;(Linnaeus, 1758);SPECIES;III;NP,PK;Antilope cervicapra
12178;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bison;bison;athabascae;Bison bison athabascae;Rhoads, 1898;SUBSPECIES;II;;Bison bison athabascae
5874;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;gaurus;;Bos gaurus;C. H. Smith, 1827;SPECIES;I;;Bos gaurus
7471;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;mutus;;Bos mutus;Przewalski, 1883;SPECIES;I;;Bos mutus
11180;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;sauveli;;Bos sauveli;Urbain, 1937;SPECIES;I;;Bos sauveli
65574;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Boselaphus;tragocamelus;;Boselaphus tragocamelus;(Pallas, 1766);SPECIES;III;PK;Boselaphus tragocamelus
6811;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bubalus;arnee;;Bubalus arnee;(Kerr, 1792);SPECIES;III;NP;Bubalus arnee
4425;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bubalus;depressicornis;;Bubalus depressicornis;(C. H. Smith, 1827);SPECIES;I;;Bubalus depressicornis
8124;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bubalus;mindorensis;;Bubalus mindorensis;(Heude, 1888);SPECIES;I;;Bubalus mindorensis
10958;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bubalus;quarlesi;;Bubalus quarlesi;(Ouwens, 1910);SPECIES;I;;Bubalus quarlesi
3135;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Budorcas;taxicolor;;Budorcas taxicolor;Hodgson, 1850;SPECIES;II;;Budorcas taxicolor
3780;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capra;falconeri;;Capra falconeri;(Wagner, 1839);SPECIES;I;;Capra falconeri
65582;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capra;hircus;aegagrus;Capra hircus aegagrus;;SUBSPECIES;III;PK;Capra hircus aegagrus
65566;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capra;sibirica;;Capra sibirica;;SPECIES;III;PK;Capra sibirica
3881;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capricornis;milneedwardsii;;Capricornis milneedwardsii;David, 1869;SPECIES;I;;Capricornis milneedwardsii
3939;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capricornis;rubidus;;Capricornis rubidus;Blyth, 1863;SPECIES;I;;Capricornis rubidus
7979;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capricornis;sumatraensis;;Capricornis sumatraensis;(Bechstein, 1799);SPECIES;I;;Capricornis sumatraensis
10594;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capricornis;thar;;Capricornis thar;(Hodgson, 1831);SPECIES;I;;Capricornis thar
8418;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Cephalophus;brookei;;Cephalophus brookei;Thomas, 1903;SPECIES;II;;Cephalophus brookei
4497;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Cephalophus;dorsalis;;Cephalophus dorsalis;Gray, 1846;SPECIES;II;;Cephalophus dorsalis
4194;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Cephalophus;jentinki;;Cephalophus jentinki;Thomas, 1892;SPECIES;I;;Cephalophus jentinki
8002;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Cephalophus;ogilbyi;;Cephalophus ogilbyi;(Waterhouse, 1838);SPECIES;II;;Cephalophus ogilbyi
